ICD10,number
A000,1
A001,2
A009,3
A0100,4
A0101,5
A0102,6
A0103,7
A0104,8
A0105,9
A0109,10
A011,11
A012,12
A013,13
A014,14
A020,15
A021,16
A0220,17
A0221,18
A0222,19
A0223,20
A0224,21
A0225,22
A0229,23
A028,24
A029,25
A030,26
A031,27
A032,28
A033,29
A038,30
A039,31
A040,32
A041,33
A042,34
A043,35
A044,36
A045,37
A046,38
A0471,39
A0472,40
A048,41
A049,42
A050,43
A051,44
A052,45
A053,46
A054,47
A055,48
A058,49
A059,50
A060,51
A061,52
A062,53
A063,54
A064,55
A065,56
A066,57
A067,58
A0681,59
A0682,60
A0689,61
A069,62
A070,63
A071,64
A072,65
A073,66
A074,67
A078,68
A079,69
A080,70
A0811,71
A0819,72
A082,73
A0831,74
A0832,75
A0839,76
A084,77
A088,78
A09,79
A150,80
A154,81
A155,82
A156,83
A157,84
A158,85
A159,86
A170,87
A171,88
A1781,89
A1782,90
A1783,91
A1789,92
A179,93
A1801,94
A1802,95
A1803,96
A1809,97
A1810,98
A1811,99
A1812,100
A1813,101
A1814,102
A1815,103
A1816,104
A1817,105
A1818,106
A182,107
A1831,108
A1832,109
A1839,110
A184,111
A1850,112
A1851,113
A1852,114
A1853,115
A1854,116
A1859,117
A186,118
A187,119
A1881,120
A1882,121
A1883,122
A1884,123
A1885,124
A1889,125
A190,126
A191,127
A192,128
A198,129
A199,130
A200,131
A201,132
A202,133
A203,134
A207,135
A208,136
A209,137
A210,138
A211,139
A212,140
A213,141
A217,142
A218,143
A219,144
A220,145
A221,146
A222,147
A227,148
A228,149
A229,150
A230,151
A231,152
A232,153
A233,154
A238,155
A239,156
A240,157
A241,158
A242,159
A243,160
A249,161
A250,162
A251,163
A259,164
A260,165
A267,166
A268,167
A269,168
A270,169
A2781,170
A2789,171
A279,172
A280,173
A281,174
A282,175
A288,176
A289,177
A300,178
A301,179
A302,180
A303,181
A304,182
A305,183
A308,184
A309,185
A310,186
A311,187
A312,188
A318,189
A319,190
A320,191
A3211,192
A3212,193
A327,194
A3281,195
A3282,196
A3289,197
A329,198
A33,199
A34,200
A35,201
A360,202
A361,203
A362,204
A363,205
A3681,206
A3682,207
A3683,208
A3684,209
A3685,210
A3686,211
A3689,212
A369,213
A3700,214
A3701,215
A3710,216
A3711,217
A3780,218
A3781,219
A3790,220
A3791,221
A380,222
A381,223
A388,224
A389,225
A390,226
A391,227
A392,228
A393,229
A394,230
A3950,231
A3951,232
A3952,233
A3953,234
A3981,235
A3982,236
A3983,237
A3984,238
A3989,239
A399,240
A400,241
A401,242
A403,243
A408,244
A409,245
A4101,246
A4102,247
A411,248
A412,249
A413,250
A414,251
A4150,252
A4151,253
A4152,254
A4153,255
A4159,256
A4181,257
A4189,258
A419,259
A420,260
A421,261
A422,262
A427,263
A4281,264
A4282,265
A4289,266
A429,267
A430,268
A431,269
A438,270
A439,271
A440,272
A441,273
A448,274
A449,275
A46,276
A480,277
A481,278
A482,279
A483,280
A484,281
A4851,282
A4852,283
A488,284
A4901,285
A4902,286
A491,287
A492,288
A493,289
A498,290
A499,291
A5001,292
A5002,293
A5003,294
A5004,295
A5005,296
A5006,297
A5007,298
A5008,299
A5009,300
A501,301
A502,302
A5030,303
A5031,304
A5032,305
A5039,306
A5040,307
A5041,308
A5042,309
A5043,310
A5044,311
A5045,312
A5049,313
A5051,314
A5052,315
A5053,316
A5054,317
A5055,318
A5056,319
A5057,320
A5059,321
A506,322
A507,323
A509,324
A510,325
A511,326
A512,327
A5131,328
A5132,329
A5139,330
A5141,331
A5142,332
A5143,333
A5144,334
A5145,335
A5146,336
A5149,337
A515,338
A519,339
A5200,340
A5201,341
A5202,342
A5203,343
A5204,344
A5205,345
A5206,346
A5209,347
A5210,348
A5211,349
A5212,350
A5213,351
A5214,352
A5215,353
A5216,354
A5217,355
A5219,356
A522,357
A523,358
A5271,359
A5272,360
A5273,361
A5274,362
A5275,363
A5276,364
A5277,365
A5278,366
A5279,367
A528,368
A529,369
A530,370
A539,371
A5400,372
A5401,373
A5402,374
A5403,375
A5409,376
A541,377
and,378
A5421,379
A5422,380
A5423,381
A5424,382
A5429,383
A5430,384
A5431,385
A5432,386
A5433,387
A5439,388
A5440,389
A5441,390
A5442,391
A5443,392
A5449,393
A545,394
A546,395
A5481,396
A5482,397
A5483,398
A5484,399
A5485,400
A5486,401
A5489,402
A549,403
A55,404
A5600,405
A5601,406
A5602,407
A5609,408
A5611,409
A5619,410
A562,411
A563,412
A564,413
A568,414
A57,415
A58,416
A5900,417
A5901,418
A5902,419
A5903,420
A5909,421
A598,422
A599,423
A6000,424
A6001,425
A6002,426
A6003,427
A6004,428
A6009,429
A601,430
A609,431
A630,432
A638,433
A64,434
A65,435
A660,436
A661,437
A662,438
A663,439
A664,440
A665,441
A666,442
A667,443
A668,444
A669,445
A670,446
A671,447
A672,448
A673,449
A679,450
A680,451
A681,452
A689,453
A690,454
A691,455
A6920,456
A6921,457
A6922,458
A6923,459
A6929,460
A698,461
A699,462
A70,463
A710,464
A711,465
A719,466
A740,467
A7481,468
A7489,469
A749,470
A750,471
A751,472
A752,473
A753,474
A759,475
A770,476
A771,477
A772,478
A773,479
A7740,480
